iter	Passed	Remaining
297	499	841
298	501	839
299	502	837
300	504	836
301	505	834
302	507	831
303	508	829
304	515	836
305	516	834
306	518	832
307	519	829
308	521	828
309	522	826
310	524	824
311	525	822
312	527	820
313	529	818
314	530	816
315	531	814
316	533	812
317	534	809
318	535	807
319	536	804
320	537	802
321	539	800
322	540	798
323	542	796
324	544	795
325	547	796
326	548	793
327	550	791
328	551	789
329	552	787
330	554	785
331	555	783
332	557	781
333	559	780
334	560	778
335	562	776
336	563	774
337	565	772
338	566	770
339	568	768
340	569	766
341	571	765
342	573	763
343	575	762
344	578	763
345	580	761
346	581	759
347	583	757
348	585	756
349	586	754
350	587	752
351	589	750
352	591	748
353	592	746
354	594	744
355	595	742
356	596	740
357	598	739
358	601	738
359	602	736
360	604	734
361	605	733
362	607	731
363	608	729
364	610	727
365	611	725
366	613	723
367	614	721
368	615	719
369	617	717
370	618	715
371	620	713
372	621	711
373	625	712
374	627	711
375	628	709
376	630	707
377	631	705
378	633	703
379	634	701
380	636	699
381	637	697
382	639	695
383	640	693
384	641	691
385	643	689
386	645	688
387	647	687
388	648	685
389	650	683
390	651	681
391	653	680
392	657	681
393	659	679
394	660	677
395	662	675
396	663	673
397	665	672
398	666	670
399	668	668
400	669	666
401	670	664
402	672	662
403	676	663
404	678	661
405	680	660
406	681	658
407	683	656
408	684	654
409	686	652
410	687	650
411	689	648
412	690	647
413	692	645
414	693	643
415	694	641
416	696	639
417	697	637
418	698	635
419	703	636
420	704	634
421	706	632
422	707	630
423	708	628
424	710	626
425	711	624
426	712	622
427	713	620
428	715	618
429	716	616
430	718	614
431	719	612
432	721	611
433	722	609
434	723	607
435	724	604
436	725	602
437	726	600
438	728	598
439	729	596
440	731	595
441	735	595
442	736	593
443	738	591
444	740	590
445	741	588
446	743	586
447	744	585
448	746	583
449	748	582
450	750	580
451	751	578
452	753	576
453	754	575
454	755	573
455	756	571
456	758	569
457	759	567
458	760	565
459	762	563
460	763	561
461	764	559
462	765	557
463	767	555
464	768	553
465	770	552
466	771	550
467	772	548
468	774	546
469	775	544
470	777	542
471	779	541
472	783	541
473	784	539
474	785	537
475	787	535
476	788	533
477	789	531
478	790	529
479	791	527
480	793	526
481	794	524
482	796	522
483	797	520
484	798	518
485	800	516
486	801	514
487	802	512
488	803	511
489	804	509
490	806	507
491	807	505
492	815	507
493	816	505
494	817	503
495	819	501
496	820	500
497	821	498
498	822	496
499	828	496
500	830	495
501	831	493
502	833	491
503	834	490
504	835	488
505	837	486
506	838	484
507	839	482
508	841	481
509	842	479
510	844	477
511	845	475
512	846	473
513	848	471
514	849	469
515	850	468
516	851	466
517	853	464
518	855	462
519	856	461
520	858	459
521	861	458
522	862	457
523	864	455
524	865	453
525	866	451
526	867	449
527	869	447
528	870	446
529	872	444
530	873	442
531	874	440
532	876	438
533	877	436
534	878	435
535	879	433
536	880	431
537	882	429
538	883	427
539	885	426
540	887	424
541	888	423
542	893	422
543	894	421
544	896	419
545	897	417
546	899	416
547	901	414
548	903	412
549	904	411
550	905	409
551	907	407
552	908	405
553	909	403
554	910	402
555	912	400
556	913	398
557	914	396
558	915	394
559	916	392
560	918	391
561	919	389
562	921	387
563	922	386
564	923	384
565	925	382
566	926	380
567	927	378
568	928	376
569	929	375
570	931	373
571	932	371
572	933	369
573	934	367
574	935	366
575	937	364
576	941	363
577	942	362
578	943	360
579	945	358
580	946	356
581	947	355
582	949	353
583	950	351
584	952	349
585	953	348
586	954	346
587	955	344
588	956	342
589	958	341
590	960	339
591	961	337
592	963	336
593	964	334
594	965	332
595	966	330
596	968	329
597	971	328
598	973	326
599	974	324
600	976	323
601	977	321
602	978	319
603	980	318
604	981	316
605	982	314
606	983	312
607	984	311
608	986	309
609	987	307
610	988	305
611	991	304
612	994	303
613	996	301
614	997	300
615	998	298
616	1000	296
617	1001	294
618	1002	293
619	1003	291
620	1004	289
621	1007	288
622	1008	286
623	1010	284
624	1011	283
625	1013	281
626	1014	279
627	1017	278
628	1025	278
629	1026	276
630	1027	275
631	1028	273
632	1029	271
633	1031	269
634	1032	268
635	1033	266
636	1035	264
637	1036	263
638	1038	261
639	1039	259
640	1040	258
641	1041	256
642	1042	254
643	1044	253
644	1046	251
645	1048	249
646	1052	248
647	1054	247
648	1055	245
649	1057	243
650	1058	242
651	1059	240
652	1061	238
653	1062	237
654	1064	235
655	1065	233
656	1066	232
657	1067	230
658	1068	228
659	1069	226
660	1071	225
661	1072	223
662	1074	221
663	1075	220
664	1076	218
665	1077	216
666	1078	215
667	1080	213
668	1081	211
669	1082	210
670	1084	208
671	1085	206
672	1086	205
673	1087	203
674	1088	201
675	1090	199
676	1091	198
677	1092	196
678	1094	194
679	1095	193
680	1098	192
681	1100	190
682	1102	188
683	1103	187
684	1104	185
685	1105	183
686	1106	182
687	1107	180
688	1109	178
689	1110	177
690	1112	175
691	1113	173
692	1114	172
693	1115	170
694	1116	168
695	1117	167
696	1119	165
697	1120	163
698	1122	162
699	1123	160
700	1124	158
701	1125	157
702	1128	155
703	1132	154
704	1133	152
705	1134	151
706	1136	149
707	1137	147
708	1139	146
709	1140	144
710	1144	143
711	1146	141
712	1148	140
713	1149	138
714	1150	136
715	1152	135
716	1153	133
717	1154	131
718	1156	130
719	1158	128
720	1159	127
721	1160	125
722	1161	123
723	1163	122
724	1164	120
725	1165	118
726	1166	117
727	1168	115
728	1169	113
729	1170	112
730	1172	110
731	1173	108
732	1174	107
733	1178	105
734	1179	104
735	1180	102
736	1182	101
737	1183	99
738	1184	97
739	1185	96
740	1187	94
741	1188	92
742	1189	91
743	1191	89
744	1192	88
745	1193	86
746	1194	84
747	1196	83
748	1197	81
749	1198	79
750	1199	78
751	1201	76
752	1202	75
753	1203	73
754	1204	71
755	1206	70
756	1209	68
757	1211	67
758	1212	65
759	1213	63
760	1215	62
761	1216	60
762	1217	59
763	1218	57
764	1220	55
765	1221	54
766	1222	52
767	1224	51
768	1225	49
769	1226	47
770	1227	46
771	1229	44
772	1230	42
773	1233	41
774	1234	39
775	1235	38
776	1236	36
777	1238	35
778	1239	33
779	1240	31
780	1241	30
781	1243	28
782	1244	27
783	1245	25
784	1246	23
785	1248	22
786	1249	20
787	1250	19
788	1251	17
789	1253	15
790	1254	14
791	1258	12
792	1259	11
793	1260	9
794	1261	7
795	1263	6
796	1264	4
797	1265	3
798	1266	1
799	1268	0
